customer_id,total_orders,lifetime_value,avg_rating,avg_sentiment_score,last_order_date,return_rate,source_user_id,signup_date,region,age_group,acquisition_channel,return_rate_pct,customer_segment
C_0819224,81,2108.84,3.57,0.574,2022-10-20,0.012345679012345678,AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,2021-05-18,West,25-34,Paid Search,1.23,Loyal Promoter
C_1664626,62,1229.25,4.19,0.774,2021-09-28,0.04838709677419355,AF2BLE54TEMGZ546U763ZHZRXC4A,2020-07-21,East,45-54,Referral,4.84,Loyal Promoter
C_5614564,46,1180.94,4.26,0.81,2022-09-14,0.043478260869565216,AHV6QCNBJNSGLATP56JAWJ3C4G2A,2021-10-17,Central,18-24,Organic,4.35,Loyal Promoter
C_9186539,37,894.43,5.0,1.0,2021-03-17,0.0,AFQQQ5LGNSQUEBGDCYBAZZE5T3DA,2020-02-10,Central,25-34,Organic,0.0,Loyal Promoter
C_4478548,23,630.44,4.83,0.989,2022-01-02,0.0,AFTLUVGQWKW6XSQ5TB6UER5Q263A,2021-03-04,West,35-44,Social,0.0,Neutral / Nurture
C_9404452,23,538.54,4.57,0.88,2022-11-18,0.043478260869565216,AFJBKPK5W56XWSNPQU2WW66ISWYQ,2022-02-24,East,35-44,Social,4.35,Neutral / Nurture
C_9866466,24,525.87,3.71,0.479,2022-11-23,0.08333333333333333,AF453YWNMOPDI5XRRVQOIF56NM4Q,2020-12-18,East,45-54,Paid Search,8.33,Neutral / Nurture
C_7240324,24,492.37,4.54,0.896,2023-03-11,0.041666666666666664,AGAM2CCKV52HI4YZU7ASZTSXA7YQ,2021-08-09,Central,35-44,Paid Search,4.17,Neutral / Nurture
C_8028024,17,436.82,4.88,0.985,2022-11-04,0.0,AFHPJTBQYQHQXIFBAODXDAIGCGMQ,2022-02-25,North,35-44,Referral,0.0,Neutral / Nurture
C_4294474,16,389.61,4.25,0.75,2021-07-21,0.0,AGD25H7BIT2JUXSIOPYCYB23J3ZQ,2019-11-26,East,18-24,Organic,0.0,Neutral / Nurture
C_8120791,15,362.86,4.47,0.75,2021-07-27,0.0,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-09-03,North,35-44,Paid Search,0.0,Neutral / Nurture
C_9827133,10,353.97,3.6,0.5,2021-08-10,0.0,AHPOHKN4PU4W3V5PGFL7AGTAD2AA,2019-12-10,Central,35-44,Email,0.0,Neutral / Nurture
C_6110118,18,351.31,5.0,1.0,2021-09-05,0.0,AGZZXSMMS4WRHHJRBUJZI4FZDHKQ,2020-08-30,East,35-44,Social,0.0,Neutral / Nurture
